0;0;1.0
0;109;-0.00480090687595465
0;118;-0.00241061645721254
0;288;-0.00193165614277739
0;738;-0.029230581652662
1;1;1.0
1;325;-1.553318209070756e-11
2;2;1.0
2;26;-1.0
2;63;-1.0
2;102;-1.0
2;315;-1.0
2;319;-1.0
2;425;-0.0014
2;499;-0.85
2;582;-1.0
2;603;-0.49
2;605;-0.96
3;3;1.0
3;576;-0.0001460356150528021
4;4;1.0
4;582;-1.9575
4;668;-0.97875
5;5;1.0
6;6;1.0
6;526;-0.21153054221002057
7;7;1.0
7;109;-0.00174956535632019
7;118;-0.00250699919896688
7;288;-0.00109245709612085
7;738;-0.00164387905043985
8;8;1.0
8;141;-1.026
8;527;-0.57
9;9;1.0
9;344;-0.87
10;10;1.0
10;491;-0.94
11;11;1.0
11;167;-1.00057
12;12;1.0
12;194;-0.00152
12;298;-0.001
13;13;1.0
13;368;-0.11
13;396;-0.11
14;14;1.0
14;187;-1.0
15;11;-31.116800000000005
15;15;1.0
16;16;1.0
17;17;1.0
17;144;-0.28
17;156;-0.41
17;183;-0.5980556828014455
17;491;-0.41
17;609;-0.94
18;18;1.0
18;70;-0.0185
19;19;1.0
20;15;-0.00018896
20;20;1.0
20;89;-0.00013163
20;447;-1.23e-05
20;538;-0.07748016
21;21;1.0
21;707;-0.1276923076923077
22;22;1.0
23;11;-6.24624
23;23;1.0
23;213;-12.28716
23;227;-0.00403
23;255;-2.67282
23;275;-0.004
23;334;-0.004
23;420;-5.87992
23;462;-0.02826
23;517;-1.99392
23;656;-0.2806
23;724;-1.2276000000000002
24;24;1.0
24;109;-1.19921183562428
24;118;-0.659156389588604
24;288;-0.494586990580956
24;738;-9.15427765394306
25;25;1.0
25;109;-0.0486397128289707
25;288;-0.000941710762381379
25;738;-0.00929022450508016
26;26;1.0
26;344;-0.023
27;27;1.0
27;526;-0.05600549073438572
28;28;1.0
28;269;-51.83924
29;29;1.0
30;30;1.0
30;344;-0.038
31;31;1.0
32;32;1.0
32;293;-500.0
33;33;1.0
34;34;1.0
34;194;-2.54e-11
34;298;-2.536783358701167e-11
34;379;-8.041603247082699e-11
35;35;1.0
35;219;-0.8574855942376951
35;483;-0.022
35;495;-0.022
36;36;1.0
36;188;-15.0
37;37;1.0
37;526;-0.051338366506520246
38;15;-0.0013
38;38;1.0
38;89;-0.00405
38;249;-0.00108
38;447;-0.0026
39;39;1.0
39;252;-12.5
40;40;1.0
41;41;1.0
41;68;-0.000909
42;42;1.0
42;89;-0.00036
43;43;1.0
43;324;-0.97946
44;44;1.0
44;219;-0.0310984393757503
44;483;-0.0067
44;495;-0.0067
44;526;-0.03129718599862732
44;707;-0.03076923076923077
45;45;1.0
45;109;-0.00481149718886945
46;46;1.0
46;61;-0.9
46;244;-0.017192469698272154
46;609;-0.96
47;47;1.0
48;48;1.0
49;49;1.0
49;229;-0.97
50;50;1.0
51;10;-0.25
51;51;1.0
51;153;-0.25
51;188;-0.46
52;52;1.0
52;499;-0.0057
53;53;1.0
53;68;-0.0062
54;54;1.0
55;55;1.0
55;231;-0.00041
56;56;1.0
57;57;1.0
57;550;-0.025
58;58;1.0
58;148;-0.034
59;59;1.0
59;746;-5.0
60;60;1.0
60;227;-1.02459
61;61;1.0
61;526;-0.13150308853809195
62;28;-1.01
62;62;1.0
63;63;1.0
63;231;-0.79
64;64;1.0
64;288;-0.000480746935527555
64;738;-0.000627953552093237
65;65;1.0
65;662;-0.251
66;66;1.0
66;109;-0.0069496099735872
66;118;-0.0035338724592215
66;288;-0.00284985039732383
66;738;-0.0413870560807596
67;67;1.0
67;760;0.0079
68;68;1.0
69;69;1.0
69;288;-0.000623529044011057
69;738;-7.02038220839227e-06
70;70;1.0
70;309;-0.045599999999999995
70;618;-0.023710000000000002
70;751;-0.13897550111358575
71;71;1.0
71;109;-0.00613545487197076
72;35;-1.0
72;37;-0.5
72;72;1.0
72;336;-1.0
72;380;-0.5
72;550;-0.32
72;561;-77.31237367774793
72;603;-0.38
73;73;1.0
73;288;-0.000517184165671171
73;738;-0.00305308259101963
74;74;1.0
74;439;-0.003
75;75;1.0
75;439;-0.12
76;76;1.0
77;77;1.0
78;11;-0.4288
78;78;1.0
78;109;-0.00123253836746408
78;118;-1.23045321291601
78;213;-1.6368
78;288;-0.168499030742732
78;309;-3.11
78;420;-0.4288
78;517;-0.4288
78;576;-0.001881154643475704
78;618;-0.11
78;639;-0.13206758828730655
78;724;-0.14880000000000002
78;738;-0.878738609280462
79;79;1.0
79;109;-0.00938760867777839
79;118;-0.00182653273671102
79;288;-0.00293737770579627
79;738;-0.008993995506775
80;80;1.0
80;109;-0.00464118788063056
80;118;-0.00221903317708495
80;288;-0.00166496471282742
80;738;-0.0313423950043424
81;81;1.0
81;576;-0.01798582820935241
82;82;1.0
82;109;-0.00450030354052496
83;83;1.0
83;219;-10.8
83;483;-14.4
83;495;-14.4
83;526;-14.4
83;707;-10.8
84;15;-0.0003
84;84;1.0
84;89;-0.00041
84;249;-0.00015
84;324;-0.0001751
84;447;-0.0003
84;525;-0.0001
85;85;1.0
85;109;-0.00299915118010498
85;576;-0.2159921594053612
86;86;1.0
86;229;-2e-08
86;425;-2e-08
86;499;-2e-08
87;87;1.0
87;190;-0.015
87;251;-0.1
87;425;-0.0036
87;582;-0.5625
87;600;-0.25
87;668;-1.6875
87;746;-0.4833333333333334
88;88;1.0
88;288;-0.000508148594987174
88;439;-3.0
88;738;-0.000653640049533347
89;89;1.0
89;462;-1.032
90;90;1.0
90;639;-1.6694063119110985e-06
